user_query,agent_response
Do you offer free shipping?,"Absolutely! Enjoy free shipping on orders over 1 million VND. Happy shopping! 🎉"
How can I change or update the phone number linked to my IVY Moda account?,"Of course! Updating the phone number on your IVY Moda account is easy—just drop us an email at CSKH@ivy.com.vn. Remember, you can make up to 3 phone number updates per account. 😊"
How can I maintain the shape of my clothing?,"Keeping your clothes looking sharp is easy with these tips:
Give them a breather! Rotate your outfits and hang them in a well-ventilated space after wearing.
Travel light—avoid stuffing pockets to keep the garment's lines intact.
A soft brush or lint roller works wonders to clean off debris before washing.
Treat your suits like royalty—skip the washing machine and let the pros handle them.
Use thick, rounded hangers or specialized ones to keep garments in perfect shape.
Steam away wrinkles and odors while being gentle on the fabric.
Stay stylish! 😉"
Give me list of categories,"Here’s a stylish list of categories you’ll find at IVY Moda Fashion Store:
- Shirts
- T-Shirts
- Sweaters
- Coats
- Jackets
- Pants
- Shorts
- Dresses
Happy shopping! 😉"
Give me list of policies,"Here’s a list of our policies at IVY Moda Fashion Store, just for you:

- Payments Policy 💳
- Returns Policy 🔄
- Warranty Policy 🛠️
- Shipping Policy 🚚
- Privacy Policy 🔒

Let me know if you need more info on any of them! 😊"
Do you allow return product?,"Absolutely! We do allow returns at IVY Moda. Here’s how it works:

- Products bought with a discount of 50% or less can be exchanged for a different size, color, or model within 15 days of receiving them.
- Please make sure the product is in its original condition, unused, and has all tags, barcodes, and accessories intact.
- Don't forget to keep your original purchase invoice.
- Remember, each order can only be exchanged once, as per our policy.

Happy shopping! 😊"
"Give me product ""Lucille Silk Collared Shirt""","Here's the stunning Lucille Silk Collared Shirt for you:

- 💲 Price: $41.00
- ✨ Description: Modern office wear doesn't have to be stiff and formal anymore! The Lucille shirt combines style and elegance, perfect for today's sophisticated woman.
- ✅ Availability: In stock
- 🖼️ ![](https://pubcdn.ivymoda.com/files/product/thumab/1400/2024/11/05/a9d992905aa523d5ffcd9646752e38c1.webp)
- 🔗 [👉 Shop Now](https://ivymoda.com/sanpham/ao-so-mi-lua-co-do-lucille-ms-17m8943-40924)

Don't miss out on this chic addition to your wardrobe! 😍
"
"How much is the product ""French Style Vest (with Croptop)""?","The "French Style Vest (with Croptop)" is priced at just 39.0 USD. A chic addition to your wardrobe! 😍"
"Is ""Sleeves Style Shirt"" in stock?","Yep, the "Sleeves Style Shirt" is in stock and ready to be yours! 😄"
"Do you have ""Skort Design Shorts""?","We have the stylish "Skort Design Shorts" in stock. Here are the details:

- 💲 Price: $474
- ✨ Description: These high-waisted Tuysi shorts effortlessly combine comfort and elegance, featuring a skirt-like design, luxurious metal buttons, and lightweight, wrinkle-resistant fabric. Ideal for outings, parties, or work!
- ✅ Availability: In stock
- 🖼️ Image: ![](https://pubcdn.ivymoda.com/files/product/thumab/1400/2023/07/06/4c26d3c556c53fb5b5fec68c46d32e1a.webp)"
- 🔗 [👉 Shop Now](https://ivymoda.com/sanpham/quan-sooc-gia-vay-ms-20m8137-36628)

Feel free to grab yours! 😍"
"Compare ""Viviane Pleated Fitted Dress"" and ""Pauline Neckline Fitted Dress"".","Here's a stylish comparison between the **Viviane Pleated Fitted Dress** and the **Pauline Neckline Fitted Dress**:\n\n| Feature                          | Viviane Pleated Fitted Dress                                                                 | Pauline Neckline Fitted Dress                                                                 |\n|----------------------------------|------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------|\n| **Description**                  | A stunning piece from the latest Fall/Winter collection, the Viviane dress is designed to hug your curves and radiate elegance. The premium, slightly stretchy fabric ensures a comfortable fit, making it an essential addition to your wardrobe. | A bold design from the 'SOLAR - SHINE TOGETHER' collection, celebrating the spirit of freedom and optimism. This dress marks the modern woman’s transformation, showcasing strength and beauty in every stitch. |\n| **Price**                        | $78.00                                                                                         | $108.00                                                                                        |\n| **Out of Stock**                 | No                                                                                             | No                                                                                             |\n| **Image**                        | ![Viviane Pleated Fitted Dress](https://pubcdn.ivymoda.com/files/product/thumab/1400/2024/11/05/d826c0005f5c097ddef8874893cb6db3.webp) | ![Pauline Neckline Fitted Dress](https://pubcdn.ivymoda.com/files/product/thumab/1400/2024/11/05/14b5ae2fd2847a741ac80b9e32f3203f.webp) |\n| **Link**                         | [👉 Shop Now](https://ivymoda.com/sanpham/dam-om-xep-ly-viviane-ms-48m8945-41041)            | [👉 Shop Now](https://ivymoda.com/sanpham/dam-om-co-kieu-pauline-ms-48b0017-40962)            |

Which one will make your wardrobe shine? ✨"
"Do you have ""Women Scalloped Dress""?",""Do you have ""Women Scalloped Dress""?","I'm sorry, but we don't have the ""Women Scalloped Dress"" in our inventory.

However, I found a similar product available on Amazon:
- Prices: $108.64
- Source: Amazon
- Image: [Women Scalloped Dress](https://serpapi.com/searches/6773b50cdd31d36edb637906/images/7beefa3c227cd709a5c282248c2ffbbd6e4b5a17c48e0460affe8e5ef3ac0199.webp)
- Link: [👉 Shop Now](https://www.google.com/shopping/product/14255566694079692598?gl=us)

Can I assist you with anything else?""
"Give me price of ""Iphone 15""","I’m sorry, I’m a fashion store chatbot, so I don’t have the iphone information. But if you need any fashion advice or help with our store, I’m here for you! 😊"
What is the weather in Hanoi?,"I’m sorry, I’m a fashion store chatbot, so I don’t have the latest weather updates for Hanoi. But if you need any fashion advice or help with our store, I’m here for you! 😊"
