user_query,agent_response
Do you offer free shipping?,"Yes, we offer free shipping on orders over 1 million VND."
How can I change or update the phone number linked to my IVY Moda account?,"To change or update the phone number linked to your IVY Moda account, please send an email to CSKH@ivy.com.vn to request the change. Each account is allowed a maximum of 3 phone number changes."
How can I maintain the shape of my clothing?,"To maintain the shape of your clothing, consider the following tips:
1. Rotate usage: Wear clothes alternately to prevent losing their shape. Hang them in a ventilated area after use.
2. Avoid overloading pockets: Carry only essentials to prevent distortion of the garment's lines.
3. Use a soft brush or lint roller to clean off debris before washing.
4. Never wash suits in water or use a washing machine; take them to professional cleaners.
5. Hang garments using thick, rounded hangers or specialized ones to maintain shape.
6. Steam garments to remove wrinkles and odors while preserving fabric quality."
Give me list of categories,"Here are the categories available at IVY Moda Fashion Store:- Shirts
- T-Shirts
- Sweaters
- Coats
- Jackets
- Pants
- Shorts
- Dresses"
Give me list of policies,"Here are the policies at IVY Moda Fashion Store:
- Payments Policy
- Returns Policy
- Warranty Policy
- Shipping Policy
- Privacy Policy"
Do you allow return product?,"Yes, IVY Moda allows product returns. Here are the details of our return policy:
- Products purchased with a discount of 50% or less can be exchanged for size, color, or model within 15 days from the date of receipt.
- The product must remain intact, unused, unaltered, and include original tags, barcodes, and accessories.
- You must have the original purchase invoice.
- Products can only be exchanged once per order according to the policy."
"Give me product ""Lucille Silk Collared Shirt""","Here are the details for the ""Lucille Silk Collared Shirt"":
- Price: $41.00
- Description: Modern office wear is no longer limited to stiff, formal outfits, as today, women can look stylish and elegant.
- Price: 41.0 USD
- Availability: In stock
- Image: ![Image](https://pubcdn.ivymoda.com/files/product/thumab/1400/2024/11/05/a9d992905aa523d5ffcd9646752e38c1.webp)
- Url: [👉 Shop Now](https://ivymoda.com/sanpham/ao-so-mi-lua-co-do-lucille-ms-17m8943-40924)
"
"How much is the product "French Style Vest (with Croptop)"?","The price for the product ""French Style Vest (with Croptop)"" is 39.0 USD."
"Is ""Sleeves Style Shirt"" in stock?","Yes, the ""Sleeves Style Shirt"" is in stock."
"Do you have ""Skort Design Shorts""?","Yes, we have ""Skort Design Shorts"" in store. Below is the detail:
- Price: $474
- Description: High-waisted Tuysi shorts combine comfort and elegance with a skirt-like design, luxurious metal buttons, and lightweight, wrinkle-resistant fabric. Perfect for outings, parties, or work.
- Availability: In stock
- Image: ![Image](https://pubcdn.ivymoda.com/files/product/thumab/1400/2023/07/06/4c26d3c556c53fb5b5fec68c46d32e1a.webp)
- Url: [👉 Shop Now](https://ivymoda.com/sanpham/quan-sooc-gia-vay-ms-20m8137-36628)"
"Compare ""Viviane Pleated Fitted Dress"" and ""Pauline Neckline Fitted Dress"".","Here’s a comparison of the **Viviane Pleated Fitted Dress** and **Pauline Neckline Fitted Dress**:\n\n| Feature                          | Viviane Pleated Fitted Dress                                                                 | Pauline Neckline Fitted Dress                                                                 |\n|----------------------------------|------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------|\n| **Description**                  | The embodiment of charm and elegance, the Viviane dress from the newly released Fall/Winter collection is set to become a priority in your wardrobe. Designed with a body-hugging form, this dress highlights the curves and natural beauty of the wearer. The high-quality fabric, lightly stretchable... | Part of the Fall/Winter 2024 collection, 'SOLAR - SHINE TOGETHER' is presented as a symphony that honors the spirit of freedom, optimism, and the vibrant beauty of women. Marking the transformation of modern women, overcoming the 'double standards' imposed on them. The designs in this collection... |\n| **Price**                        | $78.00                                                                                         | $108.00                                                                                        |\n| **Out of Stock**                 | No                                                                                             | No                                                                                             |\n| **Image**                        | ![Viviane Pleated Fitted Dress](https://pubcdn.ivymoda.com/files/product/thumab/1400/2024/11/05/d826c0005f5c097ddef8874893cb6db3.webp) | ![Pauline Neckline Fitted Dress](https://pubcdn.ivymoda.com/files/product/thumab/1400/2024/11/05/14b5ae2fd2847a741ac80b9e32f3203f.webp) |\n| **Link**                         | [👉 Shop Now](https://ivymoda.com/sanpham/dam-om-xep-ly-viviane-ms-48m8945-41041)            | [👉 Shop Now](https://ivymoda.com/sanpham/dam-om-co-kieu-pauline-ms-48b0017-40962)            |"
"Do you have ""Women Scalloped Dress""?","I'm sorry, but we don't have the ""Women Scalloped Dress"" in our inventory.

However, I found a similar product available on Amazon:
- Prices: $108.64
- Source: Amazon
- Image: [Women Scalloped Dress](https://serpapi.com/searches/6773b50cdd31d36edb637906/images/7beefa3c227cd709a5c282248c2ffbbd6e4b5a17c48e0460affe8e5ef3ac0199.webp)
- Link: [👉 Shop Now](https://www.google.com/shopping/product/14255566694079692598?gl=us)

Can I assist you with anything else?"
"Give me price of ""Iphone 15""","I'm sorry, I don't have that information right now. Can I assist you with something else?"
What is the weather in Hanoi?,"I'm sorry, I don't have that information right now. Can I assist you with something else?"
