user_query,agent_response
Hi there,Hello! How can I assist you today? 😊
Do you offer free shipping?,"Absolutely! 🎉 IVY Moda offers free shipping on orders over 1 million VND. 🚚✨ 
If you have any other questions or need further assistance, just let us know! 💬😊"
How can I maintain the shape of my clothing?,"To keep your clothes looking fabulous, here are some tips to maintain their shape:

1. 🔄 Rotate Your Wardrobe: Mix it up by wearing clothes alternately, giving them a chance to breathe. After each wear, hang them in a well-ventilated space to keep them fresh. 🌬️
2. 👜 Keep It Light: Only carry the essentials in your pockets to avoid any garment distortion. ✨
3. 🧼 Stay Clean: Gently use a soft brush or lint roller to remove any debris before washing—your clothes will thank you! 🙌
4. 👔 Suits Deserve the Best: Never throw your suits in the washer. For the best results, take them to a pro cleaner to keep them in pristine condition. 🧑‍🔬

Got more questions? Don't hesitate to ask! 😊💬"
Give me list of categories,"Here are our stylish categories for you to explore: 👗✨

- 👚 Shirts
- 👕 T-Shirts
- 🧥 Sweaters
- 🧥 Coats
- 🧳 Jackets
- 👖 Pants
- 🩳 Shorts
- 👗 Dresses

If you have any questions about these categories or need help with anything else, feel free to ask! 😄👗"
Give me list of policies,"Here are our policies for your reference: 📜✨

- 💳 Payments Policy
- 🔄 Returns Policy
- 🛠️ Warranty Policy
- 🚚 Shipping Policy
- 🔒 Privacy Policy

Let me know if you need more info on any of them! 😊"
Do you allow return product?,"🌟 Absolutely! Here’s our return policy for your convenience: 🔄✨

- **Return Period**: Products can be returned within 15 days.
- **Condition**: Items must be unused with original tags and invoice.
- **Discounts**: Returns are applicable for products discounted up to 50%.
- **Exchanges**: You can exchange for size, color, or model within the same period.

Need more help? Just let us know! 💖😊"
"Give me product ""Sophia Elegance Blazer""","Here's the elegant **Sophia Elegance Blazer** you're interested in:

- ✨ **Description**: The Sophia Elegance Blazer features a sophisticated fitted silhouette that accentuates body lines, delivering a polished and alluring look. The lapel collar is meticulously tailored, creating timeless elegance.
- 💲 Price: $33.00
- ✅ Availability: 10 in stock
- 🎨 Sizes: S, M, L, XL, XXL
- 🖼️ Image: ![](https://pubcdn.ivymoda.com/files/product/thumab/1400/2025/01/08/fea3a7c3c614e03589851132b1cea1e9.webp)
- 🔗 [👉 Shop Now](https://ivymoda.com/sanpham/ao-vest-sophia-elegance-ms-67t0240-41734)

Elevate your outerwear collection with this timeless piece! 🕊️"
"How much is the product ""Tuytsi Hiver Fitted Dress""?","The elegant **Tuytsi Hiver Fitted Dress** is priced at $41.00. 💖 Ready to enhance your curves with its gentle A-line design? 🌷"""
"Is ""Polo Sweater with Trim"" in stock?","❗ ""Polo Sweater with Trim"" is currently out of stock. Would you like me to help you find it via Google Shopping? 🛍️"
"How's about ""Wool Polo Shirt"", is it in stock?","✅ ""Wool Polo Shirt"" is available and waiting to accompany you on your stylish journeys! 🌍✨

- 💲 Price: $51.00
- ✨ Description: The wool polo shirt belongs to the high-end Senora product line, made from premium wool material, with a slim fit design, long sleeves, stand-up collar, plain pattern, and regular length. The product needs careful maintenance, dry clean only to maintain durability and long-lasting shape.
- 🖼️ Image: ![](https://pubcdn.ivymoda.com/files/product/thumab/400/2023/12/18/e96f227a96007b2ff36817431baabfa9.JPG)
- 🔗 [👉 Shop Now](https://ivymoda.com/sanpham/ao-polo-len-long-cuu-ms-58e3176-36368)"
